"","Naive_Kaech_Kaech","Naive_Kaech_Chung","Naive_Mackay_Chung","Naive_MilnerAug_Chung","Naive_Renkema_Chung","Naive_Scott_Scott","MP_Kaech_Chung","MP_Kaech_Kaech","MP_Kaech_Scott","MP_MilnerAug_Kaech","MP_MilnerAug_Scott","MP_MilnerAug_Chung","TE_Kaech_Chung","TE_Kaech_Kaech","TE_Kaech_Scott","TE_MilnerAug_Kaech","TE_MilnerAug_Scott","TE_MilnerAug_Chung","TCM_Mackay_Chung","TCM_MilnerAug_Chung","TCM_Renkema_Chung","TEM_Mackay_Chung","TEM_MilnerAug_Chung","TEM_Renkema_Chung","TRM.IEL_Milner17_Milner17","TRM.IEL_MilnerApr_Chung","TRM.IEL_MilnerApr_Milner17","TRM.IEL_Milner17_Chung","TRM.liver_Mackay_Chung","TexProg1_Beltra_Beltra","TexProg2_Beltra_Beltra","TexProg_Beltra_Chung","TexProg_Hudson_Chung","TexProg_Hudson_Beltra","TexInt_Beltra_Beltra","TexInt_Beltra_Chung","TexInt_Hudson_Chung","TexInt_Hudson_Beltra","TexTerm_Beltra_Beltra","TexTerm_Beltra_Chung","TexTerm_Hudson_Chung","TexTerm_Hudson_Beltra"
"Rfx4",0,0,0,0,0,0.08,0,0,0,0,0,0,0.02,0.02,0.02,0,0,0,0.02,0,0,0.02,0.09,0,0,0,0,0,0.03,0.15,0,0.15,0.23,0.23,0.16,0.16,0.37,0.37,0,0,0,0
"Fos",78.88,78.88,17.79,3.11,0,5.47,8.6,8.6,8.6,2.79,2.79,2.79,5.08,5.08,5.08,3.03,3.03,3.03,29.3,0.5,0,11.58,0.75,0,21.81,577.24,577.24,21.81,24.6,84.89,166.5,84.89,1.08,1.08,2.94,2.94,2.16,2.16,114.83,114.83,0.54,0.54
"Hdx",0,0,0,0.1,0,0,0,0,0,0.03,0.03,0.03,0,0,0,0.03,0.03,0.03,0,0.02,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Etv1",0,0,0.14,0,0,0.44,0,0,0,0,0,0,0.22,0.22,0.22,0,0,0,0.21,0,0,0.3,0,0,0.24,0,0,0.24,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maf",2.51,2.51,0.19,0,0,0.07,6.11,6.11,6.11,0.57,0.57,0.57,5.41,5.41,5.41,1.16,1.16,1.16,4.55,0.03,0,6.63,0,0.76,1.46,0.32,0.32,1.46,23.23,1.56,3.06,1.56,4.75,4.75,3.76,3.76,19.45,19.45,3.57,3.57,24.04,24.04
"Irf3",50.14,50.14,42.54,113.59,17.58,65.76,150.71,150.71,150.71,76.8,76.8,76.8,151.28,151.28,151.28,100.36,100.36,100.36,170.39,102.53,16.27,191.44,102.37,22.84,59.75,89.97,89.97,59.75,165.51,70.52,101.57,70.52,143.96,143.96,56.28,56.28,113.33,113.33,95.16,95.16,105.32,105.32
"Runx3",98.76,98.76,27.49,35.45,7.46,54,182.28,182.28,182.28,31.57,31.57,31.57,206.67,206.67,206.67,43.08,43.08,43.08,106.77,31.78,6.19,155.49,34.93,16.18,44.91,68.61,68.61,44.91,145.83,30.33,42.68,30.33,106.55,106.55,51.8,51.8,136.92,136.92,99.69,99.69,190.25,190.25
"Pou3f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.14,0.14,0,0,0,0,0,0
"Arid2",25.49,25.49,9.8,12.53,11.58,8.03,34.28,34.28,34.28,7.44,7.44,7.44,31.02,31.02,31.02,8.25,8.25,8.25,20.63,4.4,26.55,24.95,4.39,10.78,10.04,3.98,3.98,10.04,32.33,2.69,5.09,2.69,19.4,19.4,7.36,7.36,17.63,17.63,11.96,11.96,20.81,20.81
"Hsf1",22.17,22.17,22.1,29.44,0,37.06,51.52,51.52,51.52,24.11,24.11,24.11,44.02,44.02,44.02,21.4,21.4,21.4,53.34,26.24,0,59.17,28.62,0,14.79,29.56,29.56,14.79,51.49,56.05,58.49,56.05,84.07,84.07,33.2,33.2,62.63,62.63,59.11,59.11,56.96,56.96
