TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Zfp282 Thrb 88 20 ko ko ko
Zfp324 Zfp113 Zscan29 88 20 ko ko ko
Zfp324 Bhlha15 Alx4 87 20 ko oe ko
Zfp324 Foxd2 Alx4 87 20 ko ko ko
Zfp324 Bhlha15 Batf3 87 20 ko oe oe
Zfp324 Gmeb1 Cebpe 87 20 ko oe oe
Zfp324 Zfp282 Dlx1 87 20 ko ko oe
Zfp324 Gmeb1 Dlx4 87 20 ko oe oe
Zfp324 Gmeb1 Dmrta1 87 20 ko oe oe
Zfp324 Zfp282 Dpf3 87 20 ko ko oe
Zfp324 Bhlha15 Fbxl19 87 20 ko oe oe
Zfp324 Foxd2 Fbxl19 87 20 ko ko oe
Zfp324 Gmeb1 Foxc2 87 20 ko oe ko
Zfp324 Bhlha15 Foxf1 87 20 ko oe oe
Zfp324 Gmeb1 Foxf2 87 20 ko oe ko
Zfp324 Zfp282 Glis1 87 20 ko ko ko
Zfp324 Plag1 Glis2 87 20 ko oe oe
Zfp324 Plag1 Grhl1 87 20 ko oe ko
Zfp324 Bhlha15 Grhl2 87 20 ko oe oe
Zfp324 Foxd2 Grhl2 87 20 ko ko oe
Zfp324 Plag1 Hes7 87 20 ko oe ko
Zfp324 Bhlha15 Hesx1 87 20 ko oe ko
Zfp324 Foxd2 Hesx1 87 20 ko ko ko
Zfp324 Bhlha15 Hnf1a 87 20 ko oe ko
Zfp324 Foxd2 Hnf1a 87 20 ko ko ko
Zfp324 Plag1 Hnf4a 87 20 ko oe oe
Zfp324 Bhlha15 Hnf4g 87 20 ko oe oe
Zfp324 Foxd2 Hnf4g 87 20 ko ko oe
Zfp324 Zfp282 Hoxa1 87 20 ko ko oe
Zfp324 Gmeb1 Hoxa9 87 20 ko oe ko
Zfp324 Plag1 Hoxb4 87 20 ko oe oe
Zfp324 Gmeb1 Hsf5 87 20 ko oe ko
Zfp324 Gmeb1 Irf6 87 20 ko oe ko
Zfp324 Plag1 Isl2 87 20 ko oe oe
Zfp324 Zfp282 Lhx2 87 20 ko ko ko
Zfp324 Bhlha15 Lin28b 87 20 ko oe ko
Zfp324 Bhlha15 Mafa 87 20 ko oe ko
Zfp324 Foxd2 Mafa 87 20 ko ko ko
Zfp324 Gmeb1 Meox2 87 20 ko oe oe
Zfp324 Foxd2 Msx1 87 20 ko ko oe
Zfp324 Zfp113 Mypop 87 20 ko ko oe
Zfp324 Bhlha15 Mzf1 87 20 ko oe ko
Zfp324 Gmeb1 Nkx2-3 87 20 ko oe oe
