,Naive_Kaech_Kaech,Naive_Kaech_Chung,Naive_Mackay_Chung,Naive_MilnerAug_Chung,Naive_Renkema_Chung,Naive_Scott_Scott,MP_Kaech_Chung,MP_Kaech_Kaech,MP_Kaech_Scott,MP_MilnerAug_Kaech,MP_MilnerAug_Scott,MP_MilnerAug_Chung,TE_Kaech_Chung,TE_Kaech_Kaech,TE_Kaech_Scott,TE_MilnerAug_Kaech,TE_MilnerAug_Scott,TE_MilnerAug_Chung,TCM_Mackay_Chung,TCM_MilnerAug_Chung,TCM_Renkema_Chung,TEM_Mackay_Chung,TEM_MilnerAug_Chung,TEM_Renkema_Chung,TRM.IEL_Milner17_Milner17,TRM.IEL_MilnerApr_Chung,TRM.IEL_MilnerApr_Milner17,TRM.IEL_Milner17_Chung,TRM.liver_Mackay_Chung,TexProg1_Beltra_Beltra,TexProg2_Beltra_Beltra,TexProg_Beltra_Chung,TexProg_Hudson_Chung,TexProg_Hudson_Beltra,TexInt_Beltra_Beltra,TexInt_Beltra_Chung,TexInt_Hudson_Chung,TexInt_Hudson_Beltra,TexTerm_Beltra_Beltra,TexTerm_Beltra_Chung,TexTerm_Hudson_Chung,TexTerm_Hudson_Beltra
Gm15829,0,0,0.14,0,30.84,0.63,0.18,0.18,0.18,0,0,0,0.28,0.28,0.28,0.92,0.92,0.92,0.11,0,11.23,0.43,0,6.98,0,0.3,0.3,0,0.27,0,0,0,0.17,0.17,0,0,0.31,0.31,0.84,0.84,0.19,0.19
RP24-555M20.4,0,0,0,0.29,8.94,0,0,0,0,0.09,0.09,0.09,0,0,0,0,0,0,0.04,0,9.87,0.07,0.35,6.12,0.15,0.32,0.32,0.15,0.05,0,0,0,0.33,0.33,0,0,0.06,0.06,0,0,0.1,0.1
Cdcp1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.04,0,0.06,0,0,0,0,0,0,0.13,0.38,0,0.38,1.36,1.36,0,0,0.36,0.36,0,0,0.92,0.92
Prss56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0.25,0.69,0.25,0,0,0.26,0.26,0.05,0.05,0.25,0.25,0,0
Mlycd,6.83,6.83,10.32,11.36,0,25.67,15.78,15.78,15.78,8.5,8.5,8.5,16.87,16.87,16.87,8.81,8.81,8.81,16.95,4.17,0,21.05,10.66,0,5.27,6.75,6.75,5.27,19.13,32.4,33.65,32.4,49.32,49.32,43.87,43.87,32.34,32.34,52.79,52.79,41.69,41.69
Gm17258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5510,0,0,0.13,0,0,0,0.42,0.42,0.42,2.06,2.06,2.06,0.65,0.65,0.65,5.66,5.66,5.66,0,3.74,0,0,8.45,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm21909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.29,0,0,2.23,2.23
Enoph1,20.69,20.69,10.91,16.61,0,40.12,15.65,15.65,15.65,12.71,12.71,12.71,14.61,14.61,14.61,15.35,15.35,15.35,14.31,14.51,0,14.33,14.99,0,14.56,25.69,25.69,14.56,16.7,17.26,21.79,17.26,31.54,31.54,17.84,17.84,22.68,22.68,19.47,19.47,18.43,18.43
Bex6,4.45,4.45,0.07,0,0,0,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,0.41,0,0,0.23,0,0,0,0,0,0,0.26,1.13,0,1.13,0.48,0.48,0,0,0,0,0,0,0,0
Pbk,0,0,0.3,0,0,2.76,2.19,2.19,2.19,3,3,3,4.48,4.48,4.48,15.99,15.99,15.99,1.12,1.22,0,1.47,0,0,6.47,0,0,6.47,4.25,17.27,56.87,17.27,0.06,0.06,17.4,17.4,41.91,41.91,3.93,3.93,7.41,7.41
Zbtb3,0,0,0.77,0,0,1.6,1.11,1.11,1.11,1.53,1.53,1.53,1.31,1.31,1.31,0.45,0.45,0.45,1.09,0,0,1.23,1.03,0,1.26,0,0,1.26,2.22,1.34,1.13,1.34,2.88,2.88,1.11,1.11,3.67,3.67,2.67,2.67,4.97,4.97
Lonp2,66.28,66.28,36.45,52.8,27.82,140.96,73.42,73.42,73.42,54.21,54.21,54.21,69.37,69.37,69.37,51.1,51.1,51.1,58.85,42.96,9.95,68.35,58.99,31.15,45.23,73.03,73.03,45.23,80.12,129.14,146.93,129.14,135.62,135.62,124.83,124.83,122.7,122.7,181.35,181.35,126.44,126.44
Dok3,8.42,8.42,0.49,0,0,0,1.64,1.64,1.64,0,0,0,1.78,1.78,1.78,0,0,0,2.77,0,0,3.14,0,0,0.7,0.29,0.29,0.7,3.21,6.48,0,6.48,0.8,0.8,0,0,0.75,0.75,0,0,0.45,0.45
